,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134
0,22,22,22,22,23,23,22,22,23,23,23,23,23,24,24,24,24,24,23,23,24,24,24,23,23,23,21,18,17,13,10,1,0,0,0,0,0,0,1,12,16,18,21,23,24,25,25,25,26,26,26,27,27,27,27,29,29,29,29,29,29,29,29,29,29,29,29,29,29,30,30,30,30,30,32,32,32,32,31,27,27,27,27,27,27,26,26,26,25,25,25,25,24,24,25,25,25,25,27,27,29,30,30,32,32,33,34,34,35,35,35,35,35,33,34,34,33,34,33,33,34,33,34,35,35,35,35,35,36,35,35,35,36,36,37
1,29,29,30,31,32,31,30,31,31,32,32,32,33,35,36,35,35,34,33,33,33,33,33,32,31,29,25,22,19,16,13,6,2,1,1,0,0,1,9,14,18,22,25,30,32,34,35,36,36,37,39,39,40,41,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,41,41,41,41,41,43,43,43,43,43,41,41,41,41,41,39,39,37,36,36,36,35,34,34,34,34,35,35,36,37,37,39,40,40,39,39,40,40,41,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,47,47,47,47,47,47,47,47,47,48,50,50
2,41,40,41,43,43,45,45,45,47,48,47,47,48,50,50,52,50,48,48,47,47,48,48,47,43,39,34,26,22,18,14,10,7,3,2,1,1,6,11,15,19,24,31,37,43,47,48,50,50,52,55,57,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,70,70,70,70,70,62,62,62,62,62,57,55,52,52,50,48,48,47,45,45,45,45,45,45,43,43,45,47,47,48,50,52,52,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,57,57,57,57,57,57,57,57,57,62,66,66
3,52,52,52,52,55,57,62,62,66,70,62,57,57,57,57,62,62,57,55,55,57,62,57,55,50,45,37,29,23,18,14,11,9,3,2,1,2,6,12,16,20,25,33,43,48,52,55,57,57,62,62,66,66,70,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,82,82,82,82,82,70,70,70,70,70,66,62,57,57,55,52,50,50,48,47,47,45,45,43,47,48,50,52,55,57,62,62,66,66,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,66,66,66,66,66,66,66,66,66,70,70,76
4,76,82,82,82,76,70,70,76,82,91,82,76,76,76,70,82,82,76,70,70,62,66,66,62,55,47,39,31,24,18,15,11,9,3,1,1,2,7,12,16,21,29,36,50,52,55,55,57,62,66,70,76,76,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,76,76,76,76,76,82,82,82,82,82,82,82,82,82,82,76,70,66,66,62,57,55,55,52,52,50,48,47,45,47,47,48,48,50,57,62,62,66,70,70,70,70,70,70,66,66,66,66,66,66,66,66,66,66,70,70,70,70,70,70,70,70,70,76,82,91
5,91,91,91,100,109,100,100,100,100,100,100,100,100,100,100,91,91,91,91,91,82,82,82,76,66,50,43,36,26,19,16,11,8,3,3,1,2,5,11,17,21,32,37,48,52,52,55,57,57,66,70,76,82,82,91,91,91,91,91,91,91,91,91,91,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,70,70,66,62,57,55,52,52,50,50,50,50,50,50,50,52,55,55,70,76,76,82,82,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,100,100,100
6,100,91,100,109,109,109,100,100,100,100,100,100,100,100,100,91,91,91,91,91,82,91,91,82,70,52,45,36,27,19,16,12,9,3,3,1,3,5,11,16,21,31,37,50,55,57,62,62,66,76,82,91,91,100,100,100,100,100,100,100,100,100,100,100,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,82,76,76,70,70,70,66,62,55,52,52,52,52,52,55,55,57,62,76,76,82,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,100,100,100
7,109,100,109,109,117,109,109,109,109,109,109,109,109,109,109,100,100,100,100,100,91,91,91,82,76,57,48,39,30,20,17,12,9,5,4,1,3,5,11,16,21,31,39,52,62,66,66,70,76,91,100,109,109,117,117,117,117,117,117,117,117,117,117,117,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,100,91,91,82,76,70,66,66,62,62,62,62,62,62,62,66,66,70,76,82,82,91,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,109,109
8,109,109,109,117,126,117,117,117,117,117,117,117,117,117,117,100,100,100,100,100,91,100,100,91,76,70,52,43,31,21,17,13,9,5,4,1,4,4,10,15,21,31,39,52,66,76,82,82,91,109,117,126,134,134,134,134,134,134,134,134,134,134,134,134,126,126,126,126,126,126,126,126,126,126,126,126,126,126,126,126,126,126,126,126,126,117,117,109,100,82,76,76,70,70,70,70,70,70,70,70,76,82,82,82,82,91,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,109,117,117
9,117,109,117,117,126,117,117,117,117,117,117,117,117,117,117,109,109,109,109,109,100,109,100,91,82,70,57,45,32,21,17,13,10,6,4,1,3,4,10,15,20,30,39,55,70,91,91,100,109,117,134,134,148,156,156,156,156,156,156,156,156,156,156,156,148,148,134,134,134,134,148,134,134,134,134,134,148,134,134,134,134,148,134,134,134,126,117,117,109,109,100,100,91,76,70,76,70,76,76,76,82,91,91,91,91,91,100,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,117,117,117
